date,temperature_2m,relative_humidity_2m,apparent_temperature,rain
2024-10-17 00:00:00+00:00,13.2915,63.0,10.714715,0.0
2024-10-17 01:00:00+00:00,13.5415,63.0,10.7998905,0.0
2024-10-17 02:00:00+00:00,13.4915,62.0,10.397862,0.0
2024-10-17 03:00:00+00:00,13.5415,62.0,10.358668,0.0
2024-10-17 04:00:00+00:00,13.3415,63.0,10.000492,0.0
2024-10-17 05:00:00+00:00,13.2915,65.0,10.625788,0.0
2024-10-17 06:00:00+00:00,13.0415,69.0,10.956849,0.0
2024-10-17 07:00:00+00:00,12.7915,73.0,11.268356,0.0
2024-10-17 08:00:00+00:00,12.4915,78.0,11.618304,0.0
2024-10-17 09:00:00+00:00,12.0915,81.0,11.401646,0.0
2024-10-17 10:00:00+00:00,11.5415,83.0,10.637322,0.0
2024-10-17 11:00:00+00:00,11.191501,83.0,10.08447,0.0
2024-10-17 12:00:00+00:00,11.2415,83.0,10.153203,0.0
2024-10-17 13:00:00+00:00,11.441501,82.0,10.351485,0.0
2024-10-17 14:00:00+00:00,11.4915,83.0,10.467362,0.0
2024-10-17 15:00:00+00:00,11.7415,81.0,10.738997,0.0
2024-10-17 16:00:00+00:00,11.6415,82.0,10.661058,0.0
2024-10-17 17:00:00+00:00,11.8915,78.0,10.8665085,0.0
2024-10-17 18:00:00+00:00,11.8415,79.0,10.930851,0.0
2024-10-17 19:00:00+00:00,12.441501,77.0,11.487973,0.0
2024-10-17 20:00:00+00:00,13.7415,78.0,13.601498,0.0
2024-10-17 21:00:00+00:00,15.2415,71.0,14.593666,0.0
2024-10-17 22:00:00+00:00,15.3415,70.0,14.394091,0.0
2024-10-17 23:00:00+00:00,15.5915,71.0,15.051832,0.0
2024-10-18 00:00:00+00:00,15.6415,70.0,15.017418,0.0
2024-10-18 01:00:00+00:00,15.2415,73.0,14.384737,0.0
2024-10-18 02:00:00+00:00,14.9915,75.0,14.33408,0.0
2024-10-18 03:00:00+00:00,14.941501,76.0,14.194584,0.0
2024-10-18 04:00:00+00:00,14.3915,78.0,13.320896,0.0
2024-10-18 05:00:00+00:00,13.691501,80.0,12.87665,0.0
2024-10-18 06:00:00+00:00,13.0415,83.0,12.192251,0.0
2024-10-18 07:00:00+00:00,12.4915,86.0,11.788509,0.0
2024-10-18 08:00:00+00:00,12.1415,88.0,11.693996,0.0
2024-10-18 09:00:00+00:00,11.9915,90.0,11.771696,0.0
2024-10-18 10:00:00+00:00,11.8415,91.0,11.413554,0.0
2024-10-18 11:00:00+00:00,11.8415,93.0,11.50755,0.0
2024-10-18 12:00:00+00:00,11.6415,95.0,11.511984,0.0
2024-10-18 13:00:00+00:00,11.5415,95.0,11.559313,0.0
2024-10-18 14:00:00+00:00,11.3915,95.0,11.209149,0.0
2024-10-18 15:00:00+00:00,11.3415,93.0,11.26373,0.0
2024-10-18 16:00:00+00:00,11.2415,90.0,10.8944,0.0
2024-10-18 17:00:00+00:00,10.7915,88.0,10.180097,0.0
2024-10-18 18:00:00+00:00,10.4915,84.0,9.612803,0.0
2024-10-18 19:00:00+00:00,11.2915,81.0,10.733242,0.0
2024-10-18 20:00:00+00:00,13.5415,76.0,12.606754,0.0
2024-10-18 21:00:00+00:00,13.8915,81.0,13.209915,0.0
2024-10-18 22:00:00+00:00,14.441501,81.0,14.523579,0.0
2024-10-18 23:00:00+00:00,15.3915,74.0,16.17408,0.0
2024-10-19 00:00:00+00:00,16.641499,69.0,17.96903,0.0
2024-10-19 01:00:00+00:00,17.641499,62.0,18.657494,0.0
2024-10-19 02:00:00+00:00,17.4415,61.0,17.768389,0.0
2024-10-19 03:00:00+00:00,17.4415,64.0,17.485092,0.0
2024-10-19 04:00:00+00:00,18.141499,63.0,17.21642,0.0
2024-10-19 05:00:00+00:00,18.0915,61.0,15.977684,0.0
2024-10-19 06:00:00+00:00,17.6915,59.0,15.174656,0.0
2024-10-19 07:00:00+00:00,16.7915,61.0,14.392868,0.0
2024-10-19 08:00:00+00:00,16.241499,62.0,14.104586,0.0
2024-10-19 09:00:00+00:00,15.8915,61.0,13.929348,0.0
2024-10-19 10:00:00+00:00,15.3915,62.0,13.642242,0.0
2024-10-19 11:00:00+00:00,14.7915,64.0,13.147793,0.0
2024-10-19 12:00:00+00:00,14.2915,65.0,12.72286,0.0
2024-10-19 13:00:00+00:00,13.8415,66.0,12.349272,0.0
2024-10-19 14:00:00+00:00,13.2415,68.0,11.730567,0.0
2024-10-19 15:00:00+00:00,12.7915,69.0,11.221385,0.0
2024-10-19 16:00:00+00:00,12.441501,68.0,10.704903,0.0
2024-10-19 17:00:00+00:00,12.0915,70.0,10.406671,0.0
2024-10-19 18:00:00+00:00,11.8415,72.0,10.197073,0.0
2024-10-19 19:00:00+00:00,13.1415,71.0,11.969971,0.0
2024-10-19 20:00:00+00:00,15.4915,63.0,14.785799,0.0
2024-10-19 21:00:00+00:00,16.2915,59.0,15.103525,0.0
2024-10-19 22:00:00+00:00,16.741499,57.0,16.223421,0.0
2024-10-19 23:00:00+00:00,17.0415,57.0,17.020336,0.0
2024-10-20 00:00:00+00:00,17.491499,60.0,17.976423,0.0
2024-10-20 01:00:00+00:00,18.4415,61.0,18.969444,0.0
2024-10-20 02:00:00+00:00,19.0415,60.0,19.043318,0.0
2024-10-20 03:00:00+00:00,18.741499,60.0,18.059248,0.0
2024-10-20 04:00:00+00:00,18.0915,62.0,16.729542,0.0
2024-10-20 05:00:00+00:00,17.391499,64.0,15.906578,0.0
